id,suburb,fuel_code,Aug_2016,Sep_2016,Oct_2016,Nov_2016,Dec_2016,Jan_2017,Feb_2017,Mar_2017,Apr_2017,May_2017,Jun_2017,Jul_2017,Aug_2017,Sep_2017,Oct_2017,Nov_2017,Dec_2017,Jan_2018,Feb_2018,Mar_2018,Apr_2018,May_2018,Jun_2018,Jul_2018,Aug_2018,Sep_2018,Oct_2018,Nov_2018,Dec_2018,Jan_2019,Feb_2019,Mar_2019,Apr_2019,May_2019,Jun_2019,Jul_2019,Aug_2019,Sep_2019,Oct_2019
10000,Abbotsbury,E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10001,Abbotsford,E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10002,Acacia Gardens,E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10003,Agnes Banks,E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10004,Airds,E10,105.26923076923077,111.325,112.76250000000003,114.27142857142859,112.2,131.7,0.0,115.07499999999999,116.01666666666667,113.0,110.36250000000003,110.9857142857143,112.90000000000002,115.17500000000003,119.33636363636366,123.80000000000003,125.62857142857146,124.80909090909094,125.06363636363639,123.92222222222225,133.5,138.60909090909092,139.07500000000002,133.62857142857146,135.47894736842102,141.5,139.90000000000003,119.7,107.7,107.36666666666667,111.7,128.7,134.03333333333333,132.5,121.7,0.0,122.7,131.4,131.5
10005,Alexandria,E10,110.94583333333331,116.11081081081068,117.1062499999999,117.60952380952378,124.40370370370375,131.3837837837838,130.04193548387104,120.55405405405405,124.76451612903232,125.19999999999997,120.01379310344815,119.76956521739126,122.47066666666652,129.08840579710127,130.74375000000006,134.3,137.24375000000003,135.4625,137.43,133.25937500000003,144.21578947368425,147.45333333333338,149.15526315789467,142.22926829268286,149.0724137931035,157.44117647058826,159.90666666666658,135.35199999999992,132.5108108108108,124.98333333333339,127.82307692307694,136.9,148.18571428571428,149.08750000000003,145.40000000000003,144.521052631579,143.17272727272726,148.90000000000003,149.8454545454546
10006,Alfords Point,E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10007,Allambie Heights,E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.775,146.08181818181822,152.18571428571428,157.9,163.06666666666666,140.31176470588238,130.80909090909094,129.06666666666666,128.15,139.9,146.23333333333335,145.40000000000003,139.9,145.5666666666667,140.9,155.65,160.13076923076926
10008,Allawah,E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009,Ambarvale,E10,113.84222222222219,115.47755102040811,116.04799999999996,115.01250000000003,125.75600000000004,131.79600000000005,121.43870967741941,119.57647058823534,126.225,122.18695652173918,113.98076923076923,113.73809523809524,118.1021276595744,129.40606060606063,129.1615384615385,139.24285714285716,136.19047619047612,131.10000000000005,136.93333333333337,135.71666666666673,147.82307692307697,150.53888888888892,149.53461538461545,140.43095238095236,145.8046511627906,151.72352941176473,160.33750000000006,136.88148148148136,133.04814814814821,116.91875000000003,128.025,144.65,141.0666666666667,150.9,140.4,142.5,144.9,151.5666666666667,156.9
