id,suburb,fuel_code,Jun_2018,Nov_2018,Feb_2019,Mar_2019,May_2019,Jun_2019,Jul_2019,Aug_2019,Oct_2019
10000,Abbotsbury,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10001,Abbotsford,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10002,Acacia Gardens,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10003,Agnes Banks,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10004,Airds,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10005,Alexandria,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10006,Alfords Point,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10007,Allambie Heights,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10008,Allawah,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009,Ambarvale,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010,Annandale,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10011,Annangrove,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10012,Arcadia,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10013,Arncliffe,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10014,Arndell Park,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10015,Artarmon,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10016,Ashbury,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10017,Ashcroft,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10018,Ashfield,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10019,Asquith,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10020,Auburn,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10021,Austral,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10022,Avalon Beach,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10023,Badgerys Creek,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10024,Balgowlah,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10025,Balgowlah Heights,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10026,Balmain,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10027,Balmain East,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10028,Bangor,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10029,Banksia,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10030,Banksmeadow,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10031,Bankstown,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10032,Bankstown Aerodrome,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10033,Barangaroo,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10034,Barden Ridge,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10035,Bardia,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10036,Bardwell Park,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10037,Bardwell Valley,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10038,Bass Hill,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10039,Baulkham Hills,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10040,Bayview,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10041,Beacon Hill,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10042,Beaconsfield,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
