id,suburb,fuel_code,Aug_2016,Sep_2016,Oct_2016,Nov_2016,Dec_2016,Jan_2017,Feb_2017,Mar_2017,Apr_2017,May_2017,Jun_2017,Jul_2017,Aug_2017,Sep_2017,Oct_2017,Nov_2017,Dec_2017,Jan_2018,Feb_2018,Mar_2018,Apr_2018,May_2018,Jun_2018,Jul_2018,Aug_2018,Sep_2018,Oct_2018,Nov_2018,Dec_2018,Jan_2019,Feb_2019,Mar_2019,Apr_2019,May_2019,Jun_2019,Jul_2019,Aug_2019,Sep_2019,Oct_2019
10000,Abbotsbury,P95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10001,Abbotsford,P95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10002,Acacia Gardens,P95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10003,Agnes Banks,P95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10004,Airds,P95,121.9,127.1222222222222,128.13076923076926,128.56666666666666,130.9,144.9,0.0,133.5,127.3,128.06666666666666,124.82307692307694,125.23333333333332,128.15,131.2818181818182,134.36666666666667,144.5666666666667,139.20000000000002,139.16666666666669,138.70000000000002,138.12857142857143,143.7,150.84285714285716,151.45000000000002,148.24545454545458,150.33636363636367,155.06666666666663,154.93076923076927,134.70000000000002,119.7,122.7,129.2,136.7,147.7,148.03333333333333,137.1,138.7,137.7,143.83333333333334,146.5
10005,Alexandria,P95,125.59999999999998,132.28965517241366,134.02391304347822,134.0757575757576,141.63809523809527,149.03448275862075,145.63793103448282,136.2612903225807,141.63571428571433,141.5285714285714,138.76499999999993,136.82857142857137,139.973846153846,146.2389830508473,148.78461538461545,158.29999999999998,158.40000000000003,160.275,154.70000000000002,149.848275862069,162.6857142857143,163.62592592592597,165.7612903225806,158.36969696969695,165.82000000000005,173.31333333333336,178.53414634146333,154.9878048780487,150.99629629629638,142.54705882352945,148.7125,153.49090909090913,0.0,168.14000000000004,167.0666666666667,158.12222222222223,162.30000000000007,169.3444444444445,174.61428571428578
10006,Alfords Point,P95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10007,Allambie Heights,P95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.34444444444446,161.17272727272731,167.18571428571428,172.9,177.90000000000003,155.31176470588238,145.80909090909094,144.06666666666666,148.4,154.5666666666667,0.0,0.0,156.75714285714284,163.025,161.56666666666666,154.9,172.5666666666667
10008,Allawah,P95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009,Ambarvale,P95,126.36764705882358,130.6410256410256,130.5918367346938,131.3966666666667,141.50476190476198,142.26800000000006,138.03809523809528,133.57647058823534,140.225,136.18695652173915,128.45925925925926,127.73809523809524,129.06666666666663,143.40606060606058,143.1615384615385,153.3857142857143,150.1904761904761,145.10000000000002,151.9882352941177,150.91923076923084,161.82307692307694,164.53888888888892,163.53461538461545,154.43095238095233,159.80465116279058,165.72352941176473,174.33750000000006,150.88148148148136,147.04814814814821,130.91875000000002,144.75714285714284,156.23333333333335,161.4,173.9,162.56666666666666,162.8375,166.65,167.4,173.9
10010,Annandale,P95,123.15652173913047,131.83750000000003,130.75000000000003,133.35000000000002,144.5,145.13636363636365,152.05714285714288,137.6777777777778,143.275,145.45555555555558,137.82857142857148,132.50000000000006,135.38571428571433,142.3178571428572,150.63846153846157,153.13333333333335,154.5875,156.725,155.175,150.76666666666668,169.4,167.23333333333332,168.85000000000002,159.50000000000003,164.6142857142857,172.9,179.78888888888892,159.9,154.525,147.9,150.9,167.9,167.04285714285714,166.45555555555558,167.9,156.54285714285717,157.73333333333332,170.9,176.9
10011,Annangrove,P95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10012,Arcadia,P95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10013,Arncliffe,P95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10014,Arndell Park,P95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
