id,suburb,fuel_code,Aug_2016,Sep_2016,Oct_2016,Nov_2016,Dec_2016,Jan_2017,Feb_2017,Mar_2017,Apr_2017,May_2017,Jun_2017,Jul_2017,Aug_2017,Sep_2017,Oct_2017,Nov_2017,Dec_2017,Jan_2018,Feb_2018,Mar_2018,Apr_2018,May_2018,Jun_2018,Jul_2018,Aug_2018,Sep_2018,Oct_2018,Nov_2018,Dec_2018,Jan_2019,Feb_2019,Mar_2019,Apr_2019,May_2019,Jun_2019,Jul_2019,Aug_2019,Sep_2019,Oct_2019
10000,Abbotsbury,PDL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10001,Abbotsford,PDL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10002,Acacia Gardens,PDL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10003,Agnes Banks,PDL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10004,Airds,PDL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.4,120.4,120.4,117.5,114.9,115.9,119.4,121.4,126.4,130.4,131.9,0.0,133.9,138.15,144.65,0.0,0.0,141.7,146.7,153.7,145.15454545454548,131.20000000000002,127.80000000000001,130.7,0.0,0.0,0.0,137.7,135.2,0.0,0.0,139.7
10005,Alexandria,PDL,119.4,0.0,122.61428571428571,127.90000000000002,131.17142857142855,136.85000000000002,131.8,131.2,0.0,0.0,128.9,125.9,128.0363636363637,128.40000000000003,130.73333333333332,0.0,0.0,0.0,139.3,137.16666666666669,147.53636363636366,155.6857142857143,159.65,159.0875,157.1777777777778,163.3,168.9,165.44,151.50000000000003,143.38,146.9,146.5666666666667,150.9,152.5666666666667,152.72352941176467,153.75964912280685,153.8999999999998,153.8249999999999,154.4
10006,Alfords Point,PDL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10007,Allambie Heights,PDL,0.0,117.9,122.39999999999999,127.9,133.4,152.18571428571428,0.0,132.9,133.9,131.9,0.0,129.9,0.0,0.0,132.9,139.9,0.0,143.9,142.9,139.9,0.0,0.0,159.9,0.0,0.0,164.9,172.9,168.7,154.9,144.5,150.23333333333335,151.9,154.9,0.0,152.4,0.0,149.9,0.0,151.9
10008,Allawah,PDL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009,Ambarvale,PDL,117.5375,117.02222222222223,125.15,127.89999999999999,131.9,133.88333333333335,129.9,127.9,0.0,128.0727272727273,129.05,129.31999999999996,128.68918918918922,129.97777777777776,133.225,139.55,140.9,142.6833333333333,141.82,140.4,148.43500000000006,154.0347826086957,0.0,156.58888888888887,154.5,160.4777777777778,169.9,163.31666666666666,149.5588235294118,140.54705882352943,144.5666666666667,149.9,155.23333333333335,155.4,156.8,155.9,154.4,153.4,152.9
10010,Annandale,PDL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10011,Annangrove,PDL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10012,Arcadia,PDL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10013,Arncliffe,PDL,113.90000000000002,0.0,118.9,0.0,124.9,127.9,0.0,124.9,126.9,126.9,125.4,124.89999999999999,125.01111111111116,0.0,131.4,0.0,0.0,135.9,0.0,0.0,141.4,150.9,0.0,151.9,0.0,156.9,160.9,149.9,145.9,139.9,143.9,149.9,0.0,151.4,0.0,143.4,143.7,146.9,147.9
