id,suburb,fuel_code,Aug_2016,Sep_2016,Oct_2016,Nov_2016,Dec_2016,Jan_2017,Feb_2017,Mar_2017,Apr_2017,May_2017,Jun_2017,Jul_2017,Aug_2017,Sep_2017,Oct_2017,Nov_2017,Dec_2017,Jan_2018,Feb_2018,Mar_2018,Apr_2018,May_2018,Jun_2018,Jul_2018,Aug_2018,Sep_2018,Oct_2018,Nov_2018,Dec_2018,Jan_2019,Feb_2019,Mar_2019,Apr_2019,May_2019,Jun_2019,Jul_2019,Aug_2019,Sep_2019,Oct_2019
10000,Abbotsbury,U91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10001,Abbotsford,U91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10002,Acacia Gardens,U91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10003,Agnes Banks,U91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10004,Airds,U91,108.83333333333333,114.36666666666666,115.10000000000004,117.70000000000002,115.7,133.7,0.0,118.47142857142856,118.82000000000001,116.5,113.4066666666667,113.55714285714286,116.03333333333336,119.12727272727274,122.80000000000003,126.90000000000002,129.31538461538463,127.47500000000002,128.60000000000002,126.81111111111113,136.1,141.32500000000002,141.5888888888889,136.54615384615389,137.70000000000002,143.34,142.30000000000004,120.93809523809523,109.7,109.36666666666667,0.0,133.7,136.7,133.95,124.45,129.7,126.69999999999999,129.43333333333334,136.2
10005,Alexandria,U91,115.05000000000005,118.04531249999988,119.02127659574462,119.77500000000006,125.52500000000003,134.5931034482759,131.73333333333338,123.47142857142863,126.80000000000004,127.0428571428572,121.54444444444438,121.08518518518524,124.30425531914887,130.8777777777777,132.7636363636364,132.7,133.3,131.65,139.5666666666667,135.16250000000005,145.40000000000003,149.30000000000004,150.5428571428572,143.61818181818182,149.7571428571429,159.25384615384615,159.4869565217392,136.16363636363639,134.54000000000005,126.58421052631583,133.71818181818185,143.98333333333332,149.7125,152.33636363636367,146.04285714285714,145.15333333333336,142.45555555555558,150.71818181818185,162.00000000000003
10006,Alfords Point,U91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10007,Allambie Heights,U91,112.9,120.23333333333332,121.23333333333336,122.35454545454546,126.4,134.6142857142857,136.23333333333335,124.73333333333335,133.9,129.73333333333332,126.80000000000003,124.15,124.03333333333336,130.70000000000002,136.90000000000003,137.9,140.7888888888889,142.06666666666666,140.01111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10008,Allawah,U91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009,Ambarvale,U91,114.87317073170732,118.52424242424249,118.6363636363636,116.81250000000004,128.48500000000004,133.16538461538468,123.98928571428577,121.57647058823534,128.225,124.18695652173918,116.48214285714286,115.84,117.06666666666663,131.40606060606063,131.1615384615385,141.24285714285716,138.19047619047612,133.10000000000005,139.9882352941177,138.91923076923084,149.82307692307697,152.53888888888892,151.53461538461545,142.43095238095236,147.31219512195113,153.72352941176473,162.33750000000006,138.88148148148136,135.04814814814821,118.91875000000003,133.6,145.65,151.65,155.2,162.4,154.9,143.9,153.15,161.34444444444446
10010,Annandale,U91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10011,Annangrove,U91,110.64999999999999,118.27499999999999,118.67777777777776,117.89999999999999,126.90000000000002,131.4,132.1,120.9,130.1,126.7,122.14999999999999,118.89999999999999,121.27499999999999,128.04285714285714,133.4,136.04285714285714,136.56666666666666,139.15,132.7,136.56666666666666,146.1,148.23333333333332,146.775,142.6777777777778,149.4,156.4,155.9,134.025,129.7888888888889,135.4,123.56666666666668,134.9,146.9,148.7,136.65,134.15,139.9,148.4,152.06666666666666
10012,Arcadia,U91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
