suburb,medianSoldPrice,lowestSoldPrice,highestSoldPrice,medianRentListingPrice
Abbotsbury,845000,716000,1850000,575
Abbotsford,1475000,955000,10000000,725
Acacia Gardens,800000,640000,1100000,538
Agnes Banks,,565000,845000,480
Airds,445000,370000,780000,410
Alexandria,1450000,826000,3365000,850
Alfords Point,1195000,830000,1500000,750
Allambie Heights,1525000,1001000,2200000,835
Allawah,,735000,2650000,580
Ambarvale,530000,335000,720000,380
Annandale,1583000,920000,5000000,830
Annangrove,,,,438
Arcadia,,1800000,1800000,450
Arncliffe,1040000,810000,1720000,640
Arndell Park,,,,
Artarmon,2250000,660000,4610000,800
Ashbury,1425000,1040000,2226000,650
Ashcroft,578000,455000,750000,380
Ashfield,1410000,650000,2540000,660
Asquith,1168000,650000,1910000,575
Auburn,808000,409000,3500000,480
Austral,699000,365000,7500000,500
Avalon Beach,1775000,965000,5100000,900
Badgerys Creek,,,,
Balgowlah,2030000,1050000,8510000,1050
Balgowlah Heights,2720000,1850000,8060000,1450
Balmain,1788000,950000,7500000,870
Balmain East,2650000,1501000,6800000,1065
Bangor,970000,720000,1255000,700
Banksia,1050000,805000,1546000,620
Banksmeadow,,,,1000
Bankstown,803000,440000,6083000,500
Bankstown Aerodrome,,,,
Barangaroo,,,,
Barden Ridge,1120000,795000,2625000,750
Bardia,653000,360000,4200000,520
Bardwell Park,1099000,695000,1750000,650
Bardwell Valley,935000,470000,1770000,585
Bass Hill,775000,495000,1138000,500
Baulkham Hills,1021000,558000,1810000,560
Bayview,1700000,460000,6500000,1075
Beacon Hill,1360000,950000,2000000,895
Beaconsfield,,825000,1610000,870
Beaumont Hills,1100000,785000,2500000,650
Beecroft,1705000,880000,4570000,725
Belfield,895000,556000,1450000,550
Bella Vista,1600000,800000,3045000,735
Bellevue Hill,5500000,1000000,18600000,1998
Belmore,990000,670000,2431000,560
Belrose,1410000,1002000,2565000,1000
Berala,840000,635000,1230000,500
Berkshire Park,,,,600
Berowra,1098000,810000,1320000,600
Berowra Creek,,,,
