id,name,address,cuisines,cost,rating,suburb_id,places_id
10000,Thai Pothong,294 King Street Newtown Sydney NSW Australia,['Thai'],100,4.6,10454,ChIJa5INSTGwEmsRlBrt1bZVYiQ
10002,Black Star Pastry,277 Australia Street Newtown Sydney NSW Australia,"['Bakery', 'Desserts', 'Coffee and Tea']",30,4.2,10454,ChIJgwF71jawEmsRWUOXoYpNxjM
10003,Mary's,6 Mary Street Newtown Sydney NSW Australia,"['American', 'Burger', 'Fried Chicken']",70,4.4,10454,ChIJQ7rJQDGwEmsRlvbVnwVdAHE
10004,Cow & The Moon,181 Enmore Road Enmore Sydney NSW Australia,"['Ice Cream', 'Desserts', 'Coffee and Tea']",25,4.6,10233,ChIJxeF68ziwEmsREIyGerkMhOE
10005,Hartsyard,33 Newtown Road Newtown Sydney NSW Australia,['Modern Australian'],100,4.2,10454,ChIJwdKXEjewEmsRI7CJQlsmZwY
10010,The Hub House Diner,410-412 New Canterbury Road Dulwich Hill Sydney NSW Australia,"['American', 'Burger']",50,4.3,10201,ChIJhff4K3iwEmsRr2W2CAxE6Pc
10011,Sixpenny,83 Percival Rd Stanmore Sydney NSW Australia,['Modern Australian'],280,4.8,10599,ChIJ4_iJ6D2wEmsR61Bxc38rymI
10012,Deus Cafe,98-104 Parramatta Road Camperdown Sydney NSW Australia,['Australian'],30,4.1,10107,ChIJu-jSOymwEmsRcHIohZJvBkc
10013,Faheem Fast Food,196 Enmore Road Enmore Sydney NSW Australia,"['Pakistani', 'Indian']",50,3.8,10233,ChIJYzEAjziwEmsRf_n1I3P6S0Q
10014,Moretti,99 Norton Street Leichhardt Sydney NSW Australia,"['Italian', 'Pizza', 'Salad']",95,4.4,10364,ChIJhTEiARqwEmsRt-TjacsoCCw
10017,The Henson,91 Illawarra Road Marrickville Sydney NSW Australia,"['Bar Food', 'Fried Chicken']",65,4.4,10401,ChIJzZIVrWmwEmsRcYBztYxViJI
10019,The Pig & Pastry,1 Station Street Petersham Sydney NSW Australia,"['Cafe Food', 'Coffee and Tea']",60,4.2,10504,ChIJN54eyw2wEmsRrYiook3Zlg8
10020,Frango's,98 New Canterbury Road Petersham Sydney NSW Australia,"['Portuguese', 'Charcoal Chicken']",40,4.2,10504,ChIJy6QMP22wEmsRNHTngIzGXRU
