id,name,street,suburb,postcode,type,suburb_id
10000,Abbotsford Public School,350 Great North Rd,Abbotsford,2046,public,10001
10001,Annandale Public School,25 Johnston St,Annandale,2038,public,10010
10002,Annandale North Public School,206 Johnston St,Annandale,2038,public,10010
10003,St Brendan's Catholic Primary School,30 Collins St,Annandale,2038,private,10010
10004,Arcadia Public School,140 Arcadia Road,Arcadia,2159,public,10012
10005,Northholm Grammar School,79 Cobah Rd,Arcadia,2159,private,10012
10006,Artarmon Public School,McMillan Rd,Artarmon,2064,public,10015
10007,Ashbury Public School,Trevenar St,Ashbury,2193,public,10016
10008,Ashfield Public School,Liverpool Rd,Ashfield,2131,public,10018
10009,Yeo Park Infants School,Victoria St,Ashfield,2131,public,10018
10010,Ashfield Boys High School,117 Liverpool Rd,Ashfield,2131,public,10018
10011,Bethlehem College,18 Bland Street,Ashfield,2131,private,10018
10012,De La Salle College,24 Bland St,Ashfield,2131,private,10018
10013,St Vincent's Catholic Primary School,30-34 Charlotte Street,Ashfield,2131,private,10018
10014,Asquith Public School,Dudley St,Asquith,2077,public,10019
10015,Asquith Girls High School,Stokes Ave,Asquith,2077,public,10019
10016,Asquith Boys High School,Jersey St,Asquith,2077,public,10019
10017,St Patrick's Catholic Primary School,1 Royston Parade,Asquith,2077,private,10019
10018,Auburn North Public School,100 Adderley St,Auburn,2144,public,10020
10019,Auburn West Public School,Chiswick Rd,Auburn,2144,public,10020
10020,Auburn Public School,Auburn Rd & Beatrice St,Auburn,2144,public,10020
10021,Auburn Girls High School,Hunter St & Braemar Ave,Auburn,2144,public,10020
10022,St John's Catholic Primary School,77 Queen Street,Auburn,2144,private,10020
10023,Trinity Catholic College,13 Park Road,Auburn,2144,private,10020
10024,Al Faisal College,149 Auburn Road,Auburn,2144,private,10020
10025,Sydney Adventist School - Auburn,3 Macquarie Road,Auburn,2144,private,10020
10026,Alpha Omega Senior College,Level 4  1-5 Harrow Road,Auburn,2144,private,10020
10027,Amity College,26-28 Kerr Parade,Auburn,2144,private,10020
10028,Austral Public School,219 Edmondson Avenue,Austral,2179,public,10021
10029,Unity Grammar College,70 Fourth Avenue,Austral,2179,private,10021
10030,St Anthony of Padua Catholic School,Eleventh Avenue,Austral,2179,private,10021
10031,Al-Faisal College - Liverpool,83-87 Gurner Avenue,Austral,2179,private,10021
10032,Seaforth Public School,37 Kempbridge Avenue,Seaforth,2092,public,10571
10033,Banksmeadow Public School,Trevelyan & Wiggins Sts,Botany,2019,public,10080
10034,Botany Public School,1076 Botany Rd,Botany,2019,public,10080
10035,Pagewood Public School,Page St,Botany,2019,public,10080
10036,John Brotchie Nursery School,1361 Botany Rd,Botany,2019,public,10080
10037,St Bernard's Catholic Primary School,Ramsgate Street,Botany,2019,private,10080
10038,Greenacre Public School,Waterloo Rd,Greenacre,2190,public,10275
10039,Chullora Public School,Norfolk & Waterloo Rds,Greenacre,2190,public,10275
10040,Banksia Road Public School,65 Banksia Rd,Greenacre,2190,public,10275
10041,Mount Lewis Infants School,Noble Ave,Greenacre,2190,public,10275
10042,St John Vianney Catholic Primary School,78 Tempe Street,Greenacre,2190,private,10275
10043,Greenacre Baptist Christian Community School,36-40 Shellcote Road,Greenacre,2190,private,10275
10044,Malek Fahd Islamic School,405 Waterloo Road,Greenacre,2190,private,10275
10045,Al Noori Muslim School,75 Greenacre Rd,Greenacre,2190,private,10275
10046,Holy Saviour School,80 Waterloo Road,Greenacre,2190,private,10275
10047,Al Sadiq College,114 Waterloo Road,Greenacre,2190,private,10275
10048,Al Noori Muslim School,93 Greenacre Road,Greenacre,2190,private,10275
10049,Bankstown North Public School,322 Hume Hwy,Bankstown,2200,public,10031
10050,Wattawa Heights Public School,The Avenue,Bankstown,2200,public,10031
10051,Bankstown West Public School,William St,Bankstown,2200,public,10031
10052,Bankstown South Infants School,Stacey St,Bankstown,2200,public,10031
