LOCATION_NAME,TSN,LATITUDE,LONGITUDE,EFA_ID,PHONE,ADDRESS,FACILITIES,ACCESSIBILITY,TRANSPORT_MODE,MORNING_PEAK,AFTERNOON_PEAK
"Abbotsford Wharf",20461,-33.84367442,151.1281726,10102011,,"Great North Rd, Abbotsford NSW 2046","Bike lockers | Emergency help point | Toilets","This location is wheelchair accessible | Hearing loop | PA system for announcements","Bus, Ferry",,
"Aberdeen Station",233610,-32.16710358,150.8920522,10101192,"02 6543 1018","Macqueen St, Aberdeen NSW 2336","Emergency help point | No Opal card top up or single trip ticket sales | Wheelchair accessible car space","This location is wheelchair accessible | Tactile surfaces | PA system for announcements",Train,"No peak",4-6.30pm
"Adamstown Station",228920,-32.93372988,151.7200807,10101159,"02 4962 9295","Park Ave, Adamstown NSW 2289","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | No Opal card top up or single trip ticket sales","This location is wheelchair accessible | Level crossing | Stairs | Tactile surfaces | PA system for announcements | Short platforms, leave the train from the last 4 cars","Train, Bus",6-7.30am,4-6.30pm
"Adelaide Central Bus Station",50001,-34.92748,138.595501,10150217,,"Franklin St, Adelaide SA 5000",,,"Regional coach",,
"Adelong Coach Stop",27291,-35.308251,148.063498,10150152,,"Neill St at Tumut St, Adelong NSW 2729",,,Coach,,
"Albion Park Station",252710,-34.56264671,150.7984997,10101381,"02 4223 5416","Princes Hwy, Albion Park Rail NSW 2527","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space","This location is wheelchair accessible | Level crossing | Stairs | Tactile surfaces | PA system for announcements","Train, Bus",6-8am,4-6.30pm
"Albury QEII Square",26403,-36.080795,146.917218,10155845,,"QEII Square, Dean St, Albury NSW 2640",,,"Bus, Coach",,
"Albury Station",26401,-36.084068,146.924691,10155026,"13 22 32","Railway Pl, East Albury NSW 2640","Commuter car park | Emergency help point | Payphone | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Wheelchair ramp boarding assistance | Stairs | PA system for announcements | Short platforms, please see the train guard","Train, Regional coach, Taxi",,
"Alectown Coach Stop",28703,-32.933121,148.240234,10150260,,"Goobang St before Cross St, Alectown NSW 2870",,,Coach,,
"Allawah Station",222020,-33.96958391,151.11433,10101338,"02 9563 7415","Railway Pde, Allawah NSW 2218","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Baby change table","This location is wheelchair accessible | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus",7-9am,4-6.30pm
"Allworth Coach Stop",24253,-32.531345,151.944198,10150340,,"The Bucketts Way opp Allworth Rd, Allworth NSW 2425",,,Coach,,
"Alstonville Coach Stop",24771,-28.8418,153.44001,10150208,,"Main St at Daley St, Alstonville NSW 2477",,,Coach,,
"Ardlethan Coach Stop",26654,-34.357807,146.902563,10150175,,"Ariah St before Yithan St, Ardlethan NSW 2665",,,Coach,,
"Ariah Park Coach Stop",26651,-34.347706,147.221084,10150172,,"Ariah Park Post Office, Coolamon St, Ariah Park NSW 2665",,,Coach,,
"Arlington Light Rail",220366,-33.90184127,151.1380613,10101460,,"Constitution Rd, Dulwich Hill NSW 2203","Bike racks | Emergency help point | Kiss and ride stopping area","This location is wheelchair accessible | Hearing loop | Level crossing | Stairs | Tactile surfaces | PA system for announcements","Light rail",,
"Armidale Station",23501,-30.515373,151.651753,10155025,"13 22 32","Brown St, Armidale NSW 2350","Bike racks | Commuter car park | Payphone | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Wheelchair ramp boarding assistance | Stairs | PA system for announcements","Train, Regional coach, Taxi",,
"Arncliffe Station",220520,-33.93645619,151.1472995,10101333,"02 9563 7431","Firth St, Arncliffe NSW 2205","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Taxi rank","This location is wheelchair accessible | Lift | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi",7-9am,4-6.30pm
"Artarmon Station",206410,-33.80890264,151.1852939,10101116,"02 9379 1140","Hampden Rd, Artarmon NSW 2064","Bike lockers | Bike racks | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Stairs | Tactile surfaces | PA system for announcements","Train, Taxi",7-9am,4-6.30pm
