id,name,latitude,longitude,morning_peak,afternoon_peak
10000,Aberdeen Station,-32.16710358,150.8920522,No peak,4-6.30pm
10001,Adamstown Station,-32.93372988,151.72008069999998,6-7.30am,4-6.30pm
10002,Albion Park Station,-34.56264671,150.7984997,6-8am,4-6.30pm
10003,Albury Station,-36.084068,146.924691,No peak,No peak
10004,Allawah Station,-33.96958391,151.11433,7-9am,4-6.30pm
10005,Armidale Station,-30.515372999999997,151.651753,No peak,No peak
10006,Arncliffe Station,-33.93645619,151.1472995,7-9am,4-6.30pm
10007,Artarmon Station,-33.80890264,151.1852939,7-9am,4-6.30pm
10008,Ashfield Station,-33.88755061,151.1255042,7-9am,4-6.30pm
10009,Asquith Station,-33.68876996,151.1080252,7-9am,4-6.30pm
10010,Auburn Station,-33.8492696,151.03286699999998,7-9am,4-6.30pm
10011,Austinmer Station,-34.30641046,150.9293128,6-8am,4-6.30pm
10012,Awaba Station,-33.0129204,151.54163469999997,6-7.45am,4-6.30pm
10013,Banksia Station,-33.94528645,151.1404316,7-9am,4-6.30pm
10014,Bankstown Station,-33.91786454,151.0346869,7-9am,4-6.30pm
10015,Bardwell Park Station,-33.93161666,151.1248574,7-9am,4-6.30pm
10016,Bargo Station,-34.29136493,150.5802091,6-8am,4-6.30pm
10017,Bathurst Station,-33.42562703,149.5832161,No peak,4-6.30pm
10018,Beecroft Station,-33.74995417,151.06629819999998,7-9am,4-6.30pm
10019,Bell Station,-33.50568554,150.2788861,6-7.15am,4-6.30pm
10020,Bellambi Station,-34.36331842,150.9099025,6-8am,4-6.30pm
10021,Bellata Station,-29.9183,149.7905,No peak,No peak
10022,Belmore Station,-33.91721798,151.0887332,7-9am,4-6.30pm
10023,Berala Station,-33.87183567,151.03244180000002,7-9am,4-6.30pm
10024,Beresfield Station,-32.79894599,151.65786269999998,6-7am,4-6.30pm
10025,Berowra Station,-33.623657200000004,151.1529711,7-9am,4-6.30pm
10026,Berry Station,-34.78033267,150.6969659,6-8am,4-6.30pm
10027,Beverly Hills Station,-33.94884857,151.0816922,7-9am,4-6.30pm
10028,Bexley North Station,-33.93756601,151.11339730000003,7-9am,4-6.30pm
10029,Birrong Station,-33.8932786,151.02404130000002,7-9am,4-6.30pm
10030,Blackheath Station,-33.63288104,150.284345,6-7.30am,4-6.30pm
10031,Blacktown Station,-33.76822903,150.9075105,7-9am,4-6.30pm
10032,Blaxland Station,-33.74357659,150.6095957,6-8am,4-6.30pm
10033,Blayney Station,-33.52704,149.254516,No peak,No peak
10034,Boggabri Station,-30.703834000000004,150.039827,No peak,No peak
10035,Bomaderry Station,-34.85377666,150.60980880000002,6-8am,4-6.30pm
10036,Bombo Station,-34.6580285,150.8539755,6-8am,4-6.30pm
10037,Bondi Junction Station,-33.89120228,151.2483843,7-9am,4-6.30pm
10038,Booragul Station,-32.97142254,151.60469019999996,6-7.30am,4-6.30pm
10039,Bowral Station,-34.47812317,150.41665849999998,6-8am,4-6.30pm
10040,Branxton Station,-32.66225215,151.3456449,No peak,4-6.30pm
10041,Brisbane (Roma Street) Station,-27.465770000000003,153.01878100000002,No peak,No peak
10042,Brisbane (Roma Street) Station,-27.465325,153.01898,No peak,No peak
10043,Broadmeadow Station,-32.92301689,151.734686,6-7.30am,4-6.30pm
10044,Broken Hill Station,-31.959275,141.46666499999998,No peak,No peak
10045,Bullaburra Station,-33.72360616,150.4146074,6-7.45am,4-6.30pm
10046,Bulli Station,-34.33448098,150.9147439,6-8am,4-6.30pm
10047,Bundanoon Station,-34.65613474,150.2987371,6-8am,4-6.30pm
10048,Bungendore Station,-35.255778,149.44640900000002,No peak,No peak
10049,Burradoo Station,-34.49401919,150.3983388,6-8am,4-6.30pm
10050,Burwood Station,-33.87731465,151.1047622,7-9am,4-6.30pm
10051,Cabramatta Station,-33.89486655,150.9388206,7-9am,4-6.30pm
10052,Camellia Station,-33.81873435,151.02430090000001,7-9am,4-6.30pm
10053,Campbelltown Station,-34.06383549,150.813929,7-9am,4-6.30pm
10054,Campsie Station,-33.91048116,151.10263080000001,7-9am,4-6.30pm
10055,Canberra Station,-35.319272,149.149396,No peak,No peak
10056,Canley Vale Station,-33.88679793,150.94398700000002,7-9am,4-6.30pm
10057,Canterbury Station,-33.91167214,151.1182133,7-9am,4-6.30pm
10058,Cardiff Station,-32.94182388,151.6629801,6-7.30am,4-6.30pm
10059,Caringbah Station,-34.04161039,151.1227476,7-9am,4-6.30pm
10060,Carlingford Station,-33.78220108,151.0470507,7-9am,4-6.30pm
10061,Carlton Station,-33.96826632,151.1243369,7-9am,4-6.30pm
10062,Carramar Station,-33.88431779,150.96154860000001,7-9am,4-6.30pm
10063,Casino Station,-28.860663,153.038275,No peak,No peak
10064,Casula Station,-33.94981838,150.911946,7-9am,4-6.30pm
10065,Central Station,-33.88388163,151.2058293,7-9am,4-6.30pm
10066,Chatswood Station,-33.79713406,151.1808207,7-9am,4-6.30pm
10067,Cheltenham Station,-33.75586837,151.0788513,7-9am,4-6.30pm
10068,Chester Hill Station,-33.8835435,150.9994456,7-9am,4-6.30pm
10069,Circular Quay Station,-33.86132358,151.2103898,7-9am,4-6.30pm
10070,Clarendon Station,-33.60895245,150.7885628,7-9am,4-6.30pm
10071,Clyde Station,-33.83628176,151.0174895,7-9am,4-6.30pm
10072,Coalcliff Station,-34.24225043,150.9772427,6-8am,4-6.30pm
10073,Cockle Creek Station,-32.94270992,151.6233813,6-7.30am,4-6.30pm
10074,Coffs Harbour Station,-30.3052,153.138175,No peak,No peak
10075,Coledale Station,-34.28938913,150.9433353,6-8am,4-6.30pm
10076,Como Station,-34.00426616,151.06799880000003,7-9am,4-6.30pm
10077,Concord West Station,-33.84873998,151.08562619999998,7-9am,4-6.30pm
10078,Condobolin Station,-33.083909999999996,147.153285,No peak,No peak
10079,Coniston Station,-34.43745489,150.88552919999998,6-8am,4-6.30pm
10080,Coolamon Station,-34.816045,147.20185800000002,No peak,No peak
10081,Cootamundra Station,-34.641038,148.030649,No peak,No peak
10082,Corrimal Station,-34.37572692,150.9049716,6-8am,4-6.30pm
10083,Cowan Station,-33.59310763,151.1717177,6-8am,4-6.30pm
10084,Cringila Station,-34.46717554,150.8784228,6-8am,4-6.30pm
10085,Cronulla Station,-34.05625171,151.1515424,7-9am,4-6.30pm
10086,Croydon Station,-33.88323425,151.1154882,7-9am,4-6.30pm
10087,Culcairn Station,-35.666107000000004,147.038128,No peak,No peak
10088,Dapto Station,-34.49209044,150.7923283,6-8am,4-6.30pm
10089,Darnick Station,-32.851214,143.624896,No peak,No peak
10090,Denistone Station,-33.79990618,151.0875503,7-9am,4-6.30pm
10091,Domestic Airport Station,-33.93365963,151.18078569999997,7-9am,4-6.30pm
10092,Doonside Station,-33.76398502,150.86835209999998,7-9am,4-6.30pm
10093,Dora Creek Station,-33.08318747,151.50116210000002,6-8am,4-6.30pm
10094,Douglas Park Station,-34.18322665,150.7099378,6-8am,4-6.30pm
10095,Dubbo Station,-32.245012,148.608182,No peak,No peak
10096,Dulwich Hill Light Rail,-33.91030497,151.1400854,No peak,No peak
10097,Dulwich Hill Station,-33.91110223,151.1409894,7-9am,4-6.30pm
10098,Dundas Station,-33.80389397,151.0331967,7-9am,4-6.30pm
10099,Dungog Station,-32.4022901,151.7595395,No peak,4-6.30pm
10100,East Hills Station,-33.96160677,150.98489730000003,7-9am,4-6.30pm
10101,East Maitland Station,-32.74487523,151.58742130000002,6-7am,4-6.30pm
10102,East Richmond Station,-33.60179614,150.75923400000002,7-9am,4-6.30pm
10103,Eastwood Station,-33.7900214,151.0822335,7-9am,4-6.30pm
10104,Edgecliff Station,-33.87925148,151.23616140000001,7-9am,4-6.30pm
10105,Edmondson Park Station,-33.9693,150.8587,7-9am,4-6.30pm
10106,Emu Plains Station,-33.74556778,150.67228669999997,7-9am,4-6.30pm
10107,Engadine Station,-34.06789901,151.01465290000002,7-9am,4-6.30pm
10108,Epping Station,-33.77284145,151.0821766,7-9am,4-6.30pm
10109,Erskineville Station,-33.9008581,151.1853076,7-9am,4-6.30pm
10110,Euabalong West Station,-33.0548,146.3909,No peak,No peak
10111,Eungai Station,-30.8497,152.9001,No peak,No peak
10112,Exeter Station,-34.61377487,150.3173447,6-8am,4-6.30pm
10113,Fairfield Station,-33.87233065,150.95707109999998,7-9am,4-6.30pm
10114,Fairy Meadow Station,-34.39583411,150.89617019999997,6-8am,4-6.30pm
10115,Fassifern Station,-32.9857882,151.58125090000001,6-7.45am,4-6.30pm
10116,Faulconbridge Station,-33.69648835,150.5350339,6-8am,4-6.30pm
10117,Flemington Station,-33.86482229,151.06976650000001,7-9am,4-6.30pm
10118,Gerringong Station,-34.74488594,150.81750780000002,6-8am,4-6.30pm
