"State/Territory",Postcode2,"Individuals 2003–04 no.","Median3 taxable income 2003–04 $","Average3 taxable income 2003–04 $","Individuals 2013–14 no.","Median3 taxable income 2013–14 $","Average3 taxable income 2013–14 $","Individuals 2014–15 no.","Median3 taxable income 2014–15 $","Average3 taxable income 2014–15 $","Individuals 2015–16 no.","Median3 taxable income 2015–16 $","Average3 taxable income 2015–16 $","Individuals 2016–17no.","Median3 taxable income 2016–17$","Average3 taxable income 2016–17$"
ACT,2600,"5,692","42,327","55,819","5,712","66,815","94,265","5,592","68,327","101,142","5,581","72,047","102,063","5,646","72,304","102,131",
ACT,2601,"1,833","35,584","47,294","2,777","46,880","66,876","2,792","48,061","65,023","2,658","49,645","68,957","2,820","46,378","64,948",
ACT,2602,"17,431","35,997","41,004","19,072","57,584","68,424","19,096","57,245","68,256","19,457","58,742","70,885","19,924","58,469","71,274",
ACT,2603,"5,973","45,229","62,762","6,210","70,655","116,150","6,305","72,177","112,012","6,478","73,564","122,886","6,650","73,838","110,394",
ACT,2604,"6,053","41,732","49,505","7,205","67,865","81,898","7,464","69,440","83,477","7,387","72,034","86,280","7,984","71,683","87,389",
ACT,2605,"7,872","40,527","48,350","7,433","59,671","78,479","7,384","62,166","80,446","7,437","64,447","85,548","7,574","65,270","85,567",
ACT,2606,"5,261","37,552","44,135","5,902","55,252","68,359","6,119","56,695","68,323","6,312","56,617","70,222","6,550","57,687","70,051",
ACT,2607,"9,348","37,978","45,496","9,244","54,755","69,960","9,132","54,490","70,360","9,224","56,774","76,151","9,403","57,790","73,301",
ACT,2609,629,"31,455","41,182",597,"46,296","66,034",629,"47,552","61,817",561,"47,062","63,438",608,"49,900","64,339",
ACT,2611,"15,713","37,385","42,127","15,452","56,898","67,428","16,330","59,031","68,302","17,714","61,002","70,543","18,721","61,208","71,177",
ACT,2612,"7,018","36,183","44,279","9,514","59,011","70,468","9,728","59,796","72,772","10,180","60,425","74,512","10,631","61,229","75,381",
ACT,2614,"13,168","37,098","42,507","12,156","54,246","67,137","12,212","54,720","66,419","12,324","55,315","67,911","12,586","54,889","68,119",
ACT,2615,"26,277","34,492","37,276","27,050","52,904","58,699","26,897","53,120","59,089","27,270","54,745","60,995","27,635","55,725","61,351",
ACT,2617,"17,113","35,104","38,909","19,597","51,602","60,470","19,761","51,847","60,255","20,445","52,603","61,766","21,761","52,615","62,144",
ACT,2900,726,"37,525","39,434","1,199","54,847","60,724","1,174","56,535","62,703","1,274","59,024","67,532","1,406","60,837","68,330",
ACT,2902,"11,014","35,260","39,987","9,605","53,461","61,344","9,284","53,911","62,305","9,314","54,590","64,308","9,527","54,492","63,729",
ACT,2903,"6,834","35,408","38,971","5,998","52,957","60,666","5,949","53,211","60,556","5,912","55,231","62,808","6,051","54,991","62,870",
ACT,2904,"9,555","37,344","41,822","8,770","56,291","65,285","8,574","57,381","66,650","8,647","58,445","68,642","8,714","58,525","68,536",
ACT,2905,"18,099","35,466","38,225","18,004","54,702","60,141","18,039","54,274","60,258","18,219","55,974","62,188","18,572","56,379","62,840",
ACT,2906,"10,139","37,025","38,895","10,895","56,421","61,447","11,021","56,430","61,792","11,137","57,243","63,630","11,327","57,570","63,503",
ACT,2911,na,na,na,na,na,na,"2,724","61,148","66,445","2,900","64,660","70,942","3,012","65,215","71,410",
ACT,2912,"1,364","40,467","42,325","3,782","52,737","58,286","3,703","52,349","58,678","3,815","51,938","60,562","3,947","50,692","60,275",
ACT,2913,"13,646","37,602","41,458","19,057","57,317","64,201","20,718","57,095","63,791","21,950","57,973","65,549","22,836","58,471","66,052",
ACT,2914,"3,197","39,052","40,372","12,748","60,928","65,409","13,627","60,900","66,536","14,761","61,567","68,439","16,503","61,376","67,512",
NSW,1235,na,na,na,na,na,na,na,na,na,na,na,na,337,"20,631","38,633",
NSW,2000,"19,065","12,133","35,408","35,372","18,013","45,807","36,185","18,213","47,723","24,207","25,828","68,607","24,459","27,138","66,698",
NSW,2001,na,na,na,na,na,na,na,na,na,na,na,na,381,"45,282","93,231",
NSW,2007,"3,119","23,584","32,155","4,729","32,969","46,841","4,769","31,474","46,549","4,879","31,049","47,040","5,184","29,682","46,529",
NSW,2008,"3,974","29,617","36,588","5,166","40,518","53,660","5,607","41,151","108,816","6,025","40,289","82,162","6,218","40,057","65,810",
NSW,2009,"7,446","33,455","44,645","9,614","50,966","85,103","9,726","50,604","82,938","9,763","52,414","84,475","9,773","51,848","82,525",
NSW,2010,"16,744","34,636","45,202","19,583","53,346","76,891","20,287","53,444","79,838","20,638","55,635","83,548","20,756","57,746","88,233",
NSW,2011,"13,195","38,956","55,697","14,652","53,535","84,671","14,945","55,019","85,971","15,288","56,494","90,741","14,910","61,311","96,522",
NSW,2015,"5,545","40,525","45,887","6,907","59,694","72,061","7,254","60,610","72,810","7,444","62,703","76,455","7,789","65,837","81,428",
NSW,2016,"6,782","33,732","41,464","7,890","51,090","66,693","8,281","52,731","68,611","8,718","54,829","70,432","8,997","57,186","73,941",
NSW,2017,"4,630","32,274","37,807","10,579","52,231","61,583","12,727","53,468","62,869","14,025","54,101","65,510","14,925","54,603","66,025",
NSW,2018,"7,418","28,344","32,356","8,347","43,123","52,701","8,727","44,235","54,493","9,425","46,620","56,377","9,949","46,512","57,443",
NSW,2019,"5,154","33,805","38,389","5,751","50,362","60,335","6,159","51,627","61,563","6,578","53,579","63,034","6,805","56,017","65,432",
NSW,2020,"5,752","29,793","33,219","8,092","47,119","54,716","8,972","47,604","55,337","9,856","48,862","57,767","10,931","48,642","57,420",
NSW,2021,"10,760","41,314","67,721","10,663","61,349","111,537","10,689","64,510","118,200","10,987","66,535","123,446","11,079","68,206","125,651",
NSW,2022,"8,292","32,021","48,150","9,017","49,748","78,217","9,039","50,683","82,920","9,078","52,286","85,624","9,543","53,625","88,690",
NSW,2023,"6,571","43,802","96,087","7,107","64,526","155,172","7,159","65,948","163,820","7,254","68,006","180,412","7,454","70,356","169,334",
NSW,2024,"7,732","36,989","55,609","7,276","57,937","112,423","7,381","58,670","113,344","7,561","61,401","119,592","7,650","63,839","117,744",
NSW,2025,"5,473","42,866","77,507","5,281","61,606","127,421","5,337","64,770","141,298","5,340","67,914","141,868","5,364","69,040","141,215",
NSW,2026,"22,367","32,110","44,393","23,516","51,886","84,520","23,617","54,133","86,058","24,401","55,131","90,539","24,881","57,397","94,839",
NSW,2027,"6,099","47,705","104,514","6,071","68,004","200,015","6,109","69,546","189,293","5,995","72,877","192,500","6,089","75,897","187,769",
NSW,2028,"3,721","42,273","74,197","3,393","59,674","130,759","3,492","63,922","138,959","3,520","65,758","146,521","3,505","70,043","160,378",
NSW,2029,"7,053","38,471","68,068","6,846","55,824","102,065","6,946","57,648","105,681","7,020","59,358","111,140","7,021","61,936","117,913",
NSW,2030,"10,055","40,046","85,905","9,642","59,958","154,010","9,786","62,261","185,684","9,819","65,015","182,829","9,956","66,941","178,282",
NSW,2031,"22,148","36,225","47,105","22,769","56,129","83,259","23,078","57,795","84,639","23,160","59,853","89,077","23,425","60,489","90,205",
NSW,2032,"8,849","26,454","34,366","8,395","40,668","57,109","8,408","41,779","58,458","8,418","42,003","60,210","8,495","43,880","62,100",
NSW,2033,"6,454","30,411","41,007","6,945","46,979","69,990","7,141","47,025","69,138","7,203","48,176","70,290","7,380","48,570","72,478",
NSW,2034,"14,133","36,919","48,312","14,026","56,675","83,308","14,017","58,955","85,733","14,469","61,124","91,364","14,456","62,169","91,092",
NSW,2035,"18,371","31,605","38,889","20,493","48,136","66,603","20,950","48,996","71,091","21,300","50,244","71,062","21,634","51,245","75,547",
NSW,2036,"14,406","30,664","35,614","15,815","45,237","59,546","16,217","46,686","60,829","16,592","48,200","64,026","17,087","49,416","65,398",
NSW,2037,"8,535","34,257","47,031","8,888","48,913","73,502","9,525","49,195","78,117","10,248","51,537","77,692","10,483","52,875","81,235",
NSW,2038,"6,014","42,027","53,472","5,866","60,342","85,624","5,961","61,016","86,976","5,999","63,066","92,351","6,205","63,374","91,942",
NSW,2039,"5,479","44,725","56,261","5,626","65,743","92,312","5,751","67,274","95,474","5,863","71,116","103,107","5,943","72,599","101,616",
NSW,2040,"12,824","38,936","47,797","12,932","59,110","78,983","13,200","60,551","82,041","13,258","63,428","86,509","13,449","64,599","87,522",
NSW,2041,"11,181","46,080","69,266","10,684","67,300","117,342","10,905","68,829","116,682","10,970","70,619","120,235","11,088","72,359","127,913",
NSW,2042,"12,149","35,351","42,362","12,430","51,936","66,153","12,639","52,727","66,983","13,060","54,045","69,422","13,403","56,437","71,213",
NSW,2043,"3,906","41,468","46,782","5,020","63,579","76,925","5,415","65,494","76,653","5,762","69,329","79,928","6,057","70,034","82,040",
NSW,2044,"4,443","33,193","36,232","4,934","50,543","58,399","5,038","51,162","60,830","5,079","53,944","63,983","5,305","54,706","65,839",
NSW,2045,"4,295","33,975","49,013","4,047","49,585","91,343","4,044","51,153","94,524","3,974","53,582","97,055","4,042","54,340","96,100",
NSW,2046,"15,762","37,260","46,484","16,163","54,211","74,756","16,265","54,897","76,775","16,470","56,302","79,132","16,655","57,998","83,192",
NSW,2047,"7,708","42,017","56,142","7,626","60,843","90,204","7,678","62,417","91,443","7,763","62,821","93,342","7,920","63,528","93,589",
NSW,2048,"4,946","36,368","44,062","4,928","53,868","70,524","5,021","54,678","72,494","5,157","56,420","75,200","5,242","58,495","78,042",
NSW,2049,"6,585","35,597","41,986","6,596","51,885","67,698","6,790","53,132","69,884","7,044","53,748","71,178","7,593","55,607","72,144",
NSW,2050,"3,727","40,571","47,988","5,079","60,498","75,181","5,409","59,752","74,358","5,617","60,969","76,065","5,729","63,365","81,260",
NSW,2057,na,na,na,na,na,na,na,na,na,na,na,na,205,"54,544","85,233",
NSW,2059,na,na,na,na,na,na,na,na,na,na,na,na,225,"73,327","133,541",
NSW,2060,"9,550","41,239","63,378","10,188","61,424","94,422","10,414","62,236","100,332","10,632","66,384","105,337","10,970","66,459","113,216",
NSW,2061,"4,081","44,362","73,839","4,219","69,121","116,154","4,405","69,828","114,862","4,551","70,268","120,033","4,567","71,792","122,542",
NSW,2062,"4,637","44,318","63,239","4,752","64,474","96,281","4,759","66,935","98,131","4,697","69,940","104,824","4,752","72,125","107,131",
NSW,2063,"4,250","43,699","89,492","4,174","62,296","152,050","4,260","64,991","151,574","4,298","66,106","159,736","4,261","68,593","169,365",
NSW,2064,"6,484","38,370","51,375","6,073","53,206","78,724","6,119","55,154","79,117","6,232","55,771","81,929","6,351","56,116","83,072",
NSW,2065,"18,312","42,671","57,957","20,274","63,749","92,085","20,803","64,956","92,892","21,082","67,254","101,075","21,695","68,225","97,501",
NSW,2066,"18,140","39,756","61,635","18,333","57,476","95,088","18,801","58,641","95,917","20,273","61,139","97,067","21,168","62,562","99,324",
NSW,2067,"14,176","32,826","46,646","15,747","42,926","65,861","16,100","43,505","67,613","16,593","43,839","68,883","17,155","44,712","70,091",
NSW,2068,"10,432","38,550","65,179","10,447","56,436","110,349","10,584","59,249","112,123","10,699","60,101","115,139","10,973","61,094","114,502",
NSW,2069,"8,872","39,597","70,160","9,055","54,164","119,012","9,065","54,870","114,922","9,231","55,719","114,867","9,413","56,640","116,849",
NSW,2070,"8,176","38,342","66,231","8,263","55,588","107,932","8,560","54,928","108,137","8,899","55,776","109,617","9,222","57,128","113,215",
NSW,2071,"8,089","38,423","73,905","8,481","52,447","104,972","8,581","51,773","104,255","8,873","53,192","110,528","8,969","53,849","107,590",
NSW,2072,"4,278","36,059","63,146","4,808","47,963","90,204","5,088","46,906","88,570","5,130","49,601","88,978","5,351","49,463","90,891",
NSW,2073,"10,306","39,133","67,725","10,357","54,139","97,281","10,410","54,947","100,202","10,559","56,426","103,138","10,724","57,023","104,469",
NSW,2074,"13,925","36,303","60,581","14,355","49,817","93,327","14,427","50,985","93,320","14,428","53,369","99,066","14,644","54,802","100,029",
NSW,2075,"12,589","35,458","60,641","12,992","48,267","88,794","13,111","50,313","90,263","13,471","51,312","91,382","13,643","51,899","92,670",
NSW,2076,"15,146","35,032","57,612","15,010","50,790","91,130","15,107","51,637","88,087","15,335","53,167","90,620","15,744","54,178","92,932",
NSW,2077,"20,147","32,431","38,763","21,650","45,390","56,542","21,895","46,203","57,042","22,931","47,150","58,723","24,696","48,018","59,469",
NSW,2079,"4,539","32,784","40,619","4,505","47,273","60,324","4,535","48,375","61,231","4,583","49,362","63,424","4,603","50,844","64,082",
NSW,2080,"1,129","30,387","40,028","1,052","43,930","65,657","1,071","43,921","62,026","1,083","44,811","59,631","1,095","45,576","60,418",
NSW,2081,"3,364","33,834","41,292","3,300","46,420","60,887","3,322","48,150","61,695","3,394","49,558","64,422","3,442","50,758","65,481",
NSW,2082,"3,511","33,846","40,411","3,268","46,461","59,147","3,274","47,504","61,615","3,313","50,029","62,429","3,352","49,949","66,538",
NSW,2083,990,"32,189","38,282",927,"42,341","57,345",986,"42,692","58,504","1,005","44,603","61,132","1,055","45,070","62,178",
NSW,2084,"2,533","33,317","58,752","2,423","46,925","87,784","2,402","48,915","98,632","2,426","51,300","91,526","2,468","52,497","101,705",
NSW,2085,"7,696","33,270","46,626","7,137","44,011","69,025","7,168","44,914","69,487","7,207","46,261","71,297","7,282","46,582","72,783",
NSW,2086,"8,743","31,980","44,632","8,158","47,472","70,790","8,268","48,559","71,938","8,313","49,611","74,125","8,502","50,741","75,756",
NSW,2087,"7,947","32,431","46,102","7,502","47,079","74,988","7,597","47,883","80,330","7,770","49,197","79,655","7,890","49,460","79,171",
NSW,2088,"20,047","44,423","91,232","19,521","64,448","161,579","19,636","65,656","155,143","19,753","68,562","161,360","20,182","68,578","158,897",
NSW,2089,"9,342","43,405","63,064","8,810","61,107","95,209","8,879","63,377","100,193","8,908","66,402","102,762","9,033","66,474","100,710",
NSW,2090,"8,778","44,525","69,147","9,105","63,140","105,928","9,242","64,203","107,605","9,342","66,907","115,355","9,424","68,764","113,285",
NSW,2092,"4,444","37,015","67,129","4,424","57,056","119,506","4,471","59,927","115,492","4,572","58,637","121,568","4,655","59,739","124,729",
NSW,2093,"13,505","35,201","55,291","14,334","51,519","92,425","14,603","53,946","95,675","14,769","55,992","99,122","15,063","56,328","101,350",
NSW,2094,"4,203","38,929","57,114","4,103","59,247","91,566","4,200","61,674","94,661","4,260","61,552","97,136","4,333","63,801","103,351",
NSW,2095,"11,486","34,724","52,323","11,894","55,713","99,066","12,168","57,147","97,655","12,312","59,318","101,518","12,323","62,188","112,527",
NSW,2096,"9,637","36,702","46,166","9,843","54,927","96,406","9,850","56,236","87,496","10,021","57,984","90,633","10,108","59,933","93,695",
NSW,2097,"9,327","33,229","45,166","9,709","48,077","76,716","9,928","49,106","75,833","10,270","49,790","76,397","10,464","51,689","81,898",
NSW,2099,"23,131","31,924","38,794","25,053","44,748","60,873","25,603","45,787","62,177","25,910","47,738","64,989","26,514","48,106","65,837",
NSW,2100,"12,422","31,332","41,440","13,302","45,334","64,553","13,514","47,091","66,553","13,699","48,733","68,886","13,875","49,963","71,830",
NSW,2101,"11,455","33,241","43,301","12,049","46,822","66,985","12,328","47,638","69,937","12,553","48,808","69,642","12,619","49,649","71,670",
NSW,2102,"2,836","33,705","42,416","4,252","48,195","68,014","4,473","49,581","67,324","4,663","51,431","73,662","4,747","51,257","74,929",
NSW,2103,"6,763","32,585","43,931","7,167","45,035","66,394","7,260","45,592","66,302","7,321","47,628","70,372","7,407","48,687","73,673",
NSW,2104,"2,515","33,260","64,123","2,377","43,843","94,425","2,363","45,788","93,534","2,407","46,693","97,021","2,411","47,671","95,246",
NSW,2105,"1,473","36,575","57,252","1,361","44,826","92,337","1,373","46,737","86,232","1,381","49,218","96,571","1,398","52,054","99,047",
NSW,2106,"6,299","34,305","51,475","6,448","46,099","78,116","6,520","47,830","79,855","6,619","49,279","83,861","6,769","49,269","88,175",
NSW,2107,"10,375","31,608","48,963","9,847","43,922","77,408","10,078","44,973","79,808","10,122","46,712","84,776","10,219","47,583","84,194",
NSW,2108,"1,403","35,457","65,762","1,290","48,410","127,995","1,316","45,675","115,009","1,297","48,812","138,382","1,279","52,234","230,330",
NSW,2110,"5,989","41,908","83,538","6,025","62,610","149,761","6,104","63,037","152,102","6,050","66,491","147,757","6,104","65,705","156,069",
NSW,2111,"8,868","37,193","50,409","8,758","52,286","79,902","8,875","53,791","81,956","9,073","55,925","85,889","9,312","57,628","87,513",
NSW,2112,"15,554","32,290","39,910","17,557","46,141","61,076","18,068","46,340","62,239","19,461","47,356","64,493","20,739","48,206","64,746",
NSW,2113,"10,736","31,739","38,675","11,482","47,428","61,231","12,045","47,949","62,368","12,505","49,707","63,503","13,108","51,143","65,350",
NSW,2114,"11,789","32,654","38,148","13,787","45,844","56,881","14,341","46,455","57,537","15,169","47,221","59,141","15,461","48,574","60,221",
NSW,2115,"4,434","29,408","34,144","5,281","43,465","52,723","5,594","44,990","55,211","5,846","46,689","56,337","6,462","47,350","58,087",
NSW,2116,"2,816","31,661","35,261","3,375","43,310","51,204","3,427","43,905","51,686","3,564","45,492","53,459","3,775","45,287","54,654",
NSW,2117,"10,459","30,903","37,319","11,112","41,659","53,187","11,548","41,809","54,074","11,858","42,581","54,882","12,231","43,284","56,133",
NSW,2118,"13,318","30,865","38,255","13,653","40,458","54,146","13,928","40,799","54,666","14,516","41,540","55,182","15,327","40,969","55,197",
NSW,2119,"7,457","36,861","54,780","7,255","50,223","82,737","7,341","52,032","83,056","7,489","53,429","83,590","7,801","53,041","85,771",
NSW,2120,"13,709","33,436","44,056","12,686","47,499","65,031","12,652","48,545","66,470","12,854","49,336","67,771","12,986","50,406","68,726",
NSW,2121,"15,864","32,514","43,279","17,001","44,220","62,597","17,252","43,822","62,276","17,938","43,771","63,652","18,629","44,409","64,052",
NSW,2122,"18,132","30,467","38,017","18,656","39,938","54,059","18,850","40,306","53,853","19,253","40,265","55,264","19,754","40,038","54,855",
NSW,2124,na,na,na,na,na,na,na,na,na,na,na,na,477,"35,302","49,392",
NSW,2125,"10,901","34,685","51,963","10,867","49,837","78,015","10,912","49,587","77,378","11,007","50,357","78,356","11,129","50,523","79,247",
NSW,2126,"11,937","32,670","43,789","11,804","46,932","65,741","11,837","46,228","66,037","11,988","46,754","66,268","12,051","48,157","67,281",
NSW,2127,"2,795","39,873","44,125","6,933","52,832","62,532","7,788","53,757","63,380","8,701","53,961","63,998","10,329","52,715","62,634",
NSW,2128,487,"29,852","34,328","1,060","41,153","48,802","1,186","43,173","50,947","1,360","40,875","48,730","1,380","43,443","49,961",
NSW,2130,"4,659","34,370","40,799","4,513","51,459","66,285","4,555","51,397","67,406","4,679","55,125","70,985","4,854","56,677","72,852",
NSW,2131,"12,998","28,186","33,706","13,646","41,827","52,020","14,122","41,546","52,620","14,653","42,249","53,731","15,600","41,827","53,554",
NSW,2132,"5,910","30,874","38,167","6,080","44,870","59,022","6,141","46,025","61,098","6,209","46,268","62,437","6,387","47,437","63,762",
NSW,2133,"5,786","29,578","34,465","5,972","43,290","53,614","6,093","44,695","54,987","6,303","45,999","57,922","6,416","46,880","59,179",
NSW,2134,"6,806","24,936","33,379","8,858","33,267","47,303","8,896","33,744","48,328","9,298","34,167","49,368","9,633","34,766","49,748",
NSW,2135,"13,084","27,891","42,379","16,002","39,554","63,608","16,497","39,508","63,678","17,028","40,583","65,516","17,641","41,362","66,012",
NSW,2136,"4,589","28,850","34,803","4,393","43,753","55,809","4,386","44,513","56,810","4,559","44,741","57,842","4,693","44,053","57,076",
NSW,2137,"12,764","34,609","44,150","15,888","49,011","71,292","16,214","50,121","73,034","16,667","51,137","73,278","17,168","52,350","75,074",
NSW,2138,"5,338","34,979","41,537","10,493","45,879","59,109","11,016","45,614","58,990","11,558","46,072","60,277","11,871","46,343","62,319",
NSW,2140,"4,883","27,182","33,330","8,201","40,847","49,193","8,727","41,340","49,275","9,488","42,370","50,342","10,799","41,975","50,133",
NSW,2141,"11,742","26,344","29,375","15,000","35,580","43,289","15,650","35,617","43,345","16,374","35,456","44,664","17,122","35,770","44,740",
NSW,2142,"8,643","25,535","28,439","11,345","37,065","42,610","11,854","37,479","43,078","12,651","37,799","43,926","14,041","37,493","43,919",
NSW,2143,"3,668","27,550","30,489","3,998","38,726","44,663","4,272","37,847","45,102","4,592","38,658","46,047","4,858","38,320","45,722",
NSW,2144,"13,335","21,465","25,005","16,284","30,344","36,273","17,158","30,636","36,716","18,685","30,516","37,953","20,085","30,730","37,685",
NSW,2145,"35,001","31,085","34,289","41,470","44,679","52,067","42,042","45,577","52,944","43,325","46,337","54,429","45,189","47,285","55,358",
NSW,2146,"9,929","32,075","35,077","9,355","44,685","50,721","9,519","45,424","51,745","9,890","45,927","52,548","10,255","46,528","53,252",
NSW,2147,"20,248","32,200","35,400","19,243","44,719","50,839","19,467","45,209","51,719","19,871","46,310","53,102","20,143","47,256","54,103",
NSW,2148,"29,287","30,139","32,177","32,103","42,132","46,436","32,929","42,691","47,344","34,358","43,716","48,383","35,816","44,402","49,049",
NSW,2150,"12,626","26,728","29,992","17,114","41,999","48,453","17,767","43,360","50,526","19,415","43,794","51,291","21,735","44,971","52,675",
NSW,2151,"10,803","32,822","38,320","11,530","44,932","55,757","11,556","45,671","56,044","11,868","47,034","57,034","12,426","47,701","57,940",
NSW,2152,"4,618","34,133","38,589","6,243","46,166","55,637","6,431","48,096","58,030","6,498","49,996","59,793","6,648","50,440","59,958",
NSW,2153,"33,441","34,105","40,962","33,711","47,672","60,484","34,435","48,274","61,846","34,703","49,440","63,623","35,652","50,507","64,558",
NSW,2154,"22,673","33,546","44,829","24,222","47,261","67,126","24,487","47,931","68,370","24,777","47,902","68,889","24,929","48,979","69,767",
NSW,2155,"19,058","36,770","42,571","28,466","52,205","64,324","30,106","52,728","65,742","32,411","54,113","67,212","34,913","54,900","68,262",
NSW,2156,"8,191","34,279","51,847","8,585","45,781","75,471","8,721","47,047","76,553","8,694","47,944","97,768","8,878","49,359","82,028",
NSW,2157,"2,357","28,792","39,067","2,282","39,773","60,541","2,293","41,697","60,511","2,344","43,132","63,095","2,421","42,916","65,369",
NSW,2158,"5,581","33,294","57,746","5,490","44,854","81,737","5,636","46,438","89,971","5,653","48,497","89,926","5,690","50,209","85,650",
NSW,2159,"3,278","30,267","44,283","3,268","42,144","65,346","3,298","42,290","67,624","3,243","45,091","69,827","3,324","45,893","73,327",
NSW,2160,"15,566","26,830","29,777","16,354","38,213","44,607","16,704","38,759","45,287","17,577","38,767","45,808","18,765","38,517","45,624",
NSW,2161,"11,872","25,301","28,617","12,619","36,872","42,226","12,816","37,351","43,097","13,431","37,591","43,900","14,035","37,604","44,431",
NSW,2162,"7,644","27,861","30,879","7,878","37,367","43,682","8,122","38,565","44,877","8,287","38,987","45,878","8,549","38,936","45,880",
NSW,2163,"3,641","25,859","27,811","3,331","35,829","40,881","3,434","36,217","40,384","3,549","37,124","40,987","3,835","36,624","41,024",
NSW,2164,"10,878","28,505","32,204","9,385","40,752","47,432","9,386","41,530","48,412","9,514","42,503","50,021","9,549","42,546","50,647",
NSW,2165,"16,188","26,272","28,656","15,784","37,172","42,421","16,131","37,551","43,121","16,704","38,121","44,199","17,067","38,471","44,541",
NSW,2166,"21,035","24,206","27,059","21,672","35,816","40,570","22,338","36,801","42,363","23,453","37,016","42,852","24,349","37,435","42,996",
NSW,2167,"3,779","31,172","33,499","4,774","44,959","50,178","5,034","44,837","50,367","5,293","47,234","52,694","5,475","47,512","53,129",
NSW,2168,"18,303","28,037","29,897","17,826","40,137","44,782","18,240","40,710","45,223","18,773","41,557","46,527","19,167","42,195","46,804",
NSW,2170,"44,048","29,552","32,334","46,735","42,130","48,658","47,870","42,931","49,502","49,825","43,579","50,610","51,303","44,282","51,139",
NSW,2171,"19,548","30,938","34,576","17,796","46,119","53,214","18,716","47,305","54,615","19,626","48,002","56,251","20,391","48,668","56,360",
NSW,2172,423,"38,129","44,877","1,311","55,236","65,592","1,453","58,138","67,745","1,599","56,548","68,485","1,660","58,031","71,593",
NSW,2173,"7,591","37,720","38,013","8,165","51,575","56,843","8,332","52,727","58,206","8,424","53,467","59,651","8,556","53,513","59,669",
NSW,2174,296,"40,261","37,008",590,"45,736","55,936",862,"52,248","59,338","1,356","51,898","59,532","2,387","53,557","60,526",
NSW,2175,290,"28,559","35,774","1,049","42,413","56,353","1,099","43,872","58,880","1,085","45,713","61,496","1,112","46,970","64,229",
NSW,2176,"24,958","28,555","32,048","23,873","41,421","48,033","23,744","42,020","49,385","23,994","42,466","50,285","24,102","43,356","51,269",
NSW,2177,"7,374","26,631","29,514","7,308","40,365","45,069","7,429","40,794","46,614","7,572","42,002","47,883","7,805","42,487","48,330",
NSW,2178,531,"25,950","35,034","1,959","41,512","55,232","1,999","44,420","59,018","2,135","45,736","60,407","2,204","46,721","63,231",
NSW,2179,733,"28,213","33,574","2,309","40,059","50,123","2,603","42,375","52,205","3,055","45,047","54,299","3,273","46,145","56,990",
NSW,2190,"10,183","23,050","27,375","10,503","35,374","43,925","10,773","35,984","44,438","11,114","36,437","45,842","11,555","36,928","46,618",
