id,name,post_code,state,locality,latitude,longitude,sqkm,population_male,population_female,population_total,avg_income
10000,Abbotsbury,2176.0,NSW,Fairfield City Council,-33.875,150.862,4.978800000000001,2076.0,2177.0,4253.0,51269.0
10001,Abbotsford,2046.0,NSW,City of Canada Bay Council,-33.85215,151.12726,1.018,2542.0,2838.0,5380.0,83192.0
10002,Acacia Gardens,2763.0,NSW,City of Blacktown,-33.7322,150.917,1.0012999999999996,1898.0,1899.0,3797.0,56936.0
10003,Agnes Banks,2753.0,NSW,,-33.61529,150.71616,15.474999999999998,472.0,440.0,912.0,56367.0
10004,Airds,2560.0,NSW,Campbelltown City Council,-34.0916,150.8249,2.3808000000000002,1333.0,1591.0,2924.0,51254.0
10005,Alexandria,2015.0,NSW,Council of the City of Sydney,-33.9080273,151.1902576,3.5155999999999996,4214.0,4054.0,8268.0,81428.0
10006,Alfords Point,2234.0,NSW,Sutherland Shire,-33.9848,151.02142,2.5664999999999996,1524.0,1585.0,3109.0,66945.0
10007,Allambie Heights,2100.0,NSW,Northern Beaches Council,-33.7624,151.25,6.674599999999998,3404.0,3605.0,7009.0,71830.0
10008,Allawah,2218.0,NSW,Kogarah City Council,-33.9749,151.1167,0.5837000000000001,2857.0,2852.0,5709.0,50054.0
10009,Ambarvale,2560.0,NSW,Campbelltown City Council,-34.08333,150.80067,2.8822,3598.0,3782.0,7380.0,51254.0
10010,Annandale,2038.0,NSW,,-33.8814,151.1707,1.4930999999999994,4543.0,4911.0,9454.0,91942.0
10011,Annangrove,2156.0,NSW,The Hills Shire,-33.65255,150.94096,10.246400000000001,724.0,669.0,1393.0,82028.0
10012,Arcadia,2159.0,NSW,The Council of the Shire of Hornsby,-33.62429,151.04455,22.4088,698.0,685.0,1383.0,73327.0
10013,Arncliffe,2205.0,NSW,Bayside Council,-33.93915010000001,151.1478116,2.942899999999998,5307.0,5283.0,10590.0,53023.0
10014,Arndell Park,2148.0,NSW,City of Blacktown,-33.79,150.876,2.0008,28.0,6.0,34.0,49049.0
10015,Artarmon,2064.0,NSW,City of Willoughby,-33.8093311,151.185647,2.5348,4654.0,4876.0,9530.0,83072.0
10016,Ashbury,2193.0,NSW,,-33.8997098,151.1199309,1.0312,1654.0,1675.0,3329.0,58677.0
10017,Ashcroft,2168.0,NSW,City of Liverpool,-33.91447,150.8987392,1.1538999999999997,1753.0,1827.0,3580.0,46804.0
10018,Ashfield,2131.0,NSW,Inner West Council,-33.8889,151.1249,3.414299999999998,11773.0,12067.0,23840.0,53554.0
10019,Asquith,2077.0,NSW,The Council of the Shire of Hornsby,-33.689,151.105,3.501700000000001,1621.0,1759.0,3380.0,59469.0
10020,Auburn,2144.0,NSW,Cumberland Council,-33.8605837,151.02475,8.5637,20570.0,16799.0,37369.0,37685.0
10021,Austral,2179.0,NSW,City of Liverpool,-33.93109,150.79361,17.6607,1523.0,1504.0,3027.0,56990.0
10022,Avalon Beach,2107.0,NSW,Northern Beaches Council,-33.6302836,151.3297698,5.1313,4830.0,5078.0,9908.0,84194.0
10023,Badgerys Creek,2555.0,NSW,,-33.8828765,150.7608502,26.981000000000005,111.0,109.0,220.0,
10024,Balgowlah,2093.0,NSW,Northern Beaches Council,-33.79645,151.25854,1.9589999999999985,3827.0,4133.0,7960.0,101350.0
10025,Balgowlah Heights,2093.0,NSW,Northern Beaches Council,-33.8072234,151.2641654,1.6838,1625.0,1720.0,3345.0,101350.0
10026,Balmain,2041.0,NSW,Inner West Council,-33.85895,151.17906,1.5378000000000005,5019.0,5433.0,10452.0,127913.0
10027,Balmain East,2041.0,NSW,Inner West Council,-33.85811,151.19017,0.3429999999999999,952.0,986.0,1938.0,127913.0
10028,Bangor,2234.0,NSW,Sutherland Shire,-34.01908,151.02735,3.9221,2764.0,2804.0,5568.0,66945.0
10029,Banksia,2216.0,NSW,Bayside Council,-33.94776,151.14806,0.9567999999999998,1674.0,1709.0,3383.0,51558.0
