suburb,forecast_22Nov,condition_22Nov,forecast_23Nov,condition_23Nov,forecast_23Nov,condition_23Nov,forecast_24Nov,condition_24Nov,forecast_25Nov,condition_25Nov
Abbotsbury,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Abbotsford,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Acacia Gardens,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Agnes Banks,32.84,Clouds,28.69,Clouds,23.72,Clouds,29.8,Clouds,26.12,Clouds
Airds,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Alexandria,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Alfords Point,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Allambie Heights,22.83,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds
Allawah,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Ambarvale,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Annandale,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Annangrove,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Arcadia,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Arncliffe,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Arndell Park,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Artarmon,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Ashbury,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Ashcroft,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Ashfield,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Asquith,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Auburn,24.6,Clear,23.33,Clear,29.31,Clear,30.96,Clouds,19.38,Clouds
Austral,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Avalon Beach,23.28,Clear,21.22,Clouds,20.29,Clouds,22.33,Clouds,25,Clouds
Badgerys Creek,31.78,Clouds,29.82,Clouds,24.14,Clouds,33.09,Clouds,30.16,Clouds
Balgowlah,22.83,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds
Balgowlah Heights,22.83,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds
Balmain,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Balmain East,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Bangor,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Banksia,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Banksmeadow,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Bankstown,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Barangaroo,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Barden Ridge,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Bardia,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Bardwell Park,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Bardwell Valley,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Bass Hill,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Baulkham Hills,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Bayview,23.28,Clear,21.22,Clouds,20.29,Clouds,22.33,Clouds,25,Clouds
Beacon Hill,22.83,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds
Beaconsfield,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Beaumont Hills,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Beecroft,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Belfield,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Bella Vista,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Bellevue Hill,22.83,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds
Belmore,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Belrose,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Berala,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Berkshire Park,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Berowra,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Berowra Creek,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Berowra Heights,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Berowra Waters,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Berrilee,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Beverley Park,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Beverly Hills,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Bexley,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Bexley North,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Bickley Vale,31.78,Clouds,29.82,Clouds,24.14,Clouds,33.09,Clouds,30.16,Clouds
Bidwill,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Bilgola Beach,23.28,Clear,21.22,Clouds,20.29,Clouds,22.33,Clouds,25,Clouds
Bilgola Plateau,23.28,Clear,21.22,Clouds,20.29,Clouds,22.33,Clouds,25,Clouds
Birchgrove,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Birrong,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Blackett,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Blacktown,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Blair Athol,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Blairmount,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Blakehurst,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Bligh Park,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Bondi,22.83,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds
Bondi Beach,22.83,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds
Bondi Junction,22.83,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds
Bonnet Bay,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Bonnyrigg,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Bonnyrigg Heights,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Bossley Park,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Botany,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Bow Bowing,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Box Hill,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Bradbury,19.61,Clouds,16.95,Clouds,18.53,Clouds,24.53,Clouds,15.57,Clear
Breakfast Point,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Brighton-Le-Sands,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Bringelly,31.78,Clouds,29.82,Clouds,24.14,Clouds,33.09,Clouds,30.16,Clouds
Bronte,22.83,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds
Brooklyn,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Brookvale,22.83,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds
Bundeena,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Bungarribee,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Burraneer,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Burwood,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Burwood Heights,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Busby,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Cabarita,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Cabramatta,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Cabramatta West,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Caddens,31.78,Clouds,29.82,Clouds,24.14,Clouds,33.09,Clouds,30.16,Clouds
Cambridge Gardens,32.84,Clouds,28.69,Clouds,23.72,Clouds,29.8,Clouds,26.12,Clouds
Cambridge Park,31.78,Clouds,29.82,Clouds,24.14,Clouds,33.09,Clouds,30.16,Clouds
Camden,31.78,Clouds,29.82,Clouds,24.14,Clouds,33.09,Clouds,30.16,Clouds
Camden South,31.78,Clouds,29.82,Clouds,24.14,Clouds,33.09,Clouds,30.16,Clouds
Camellia,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Cammeray,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Campbelltown,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Camperdown,19.41,Clouds,16.19,Rain,20.47,Clouds,22.03,Clouds,14.13,Rain
Campsie,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Canada Bay,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Canley Heights,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Canley Vale,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Canoelands,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Canterbury,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Caringbah,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Caringbah South,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Carlingford,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Carlton,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Carnes Hill,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Carramar,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Carss Park,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Cartwright,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Castle Cove,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Castle Hill,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Castlecrag,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Castlereagh,32.84,Clouds,28.69,Clouds,23.72,Clouds,29.8,Clouds,26.12,Clouds
Casula,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Catherine Field,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
