suburb,temp,pressure,humidity,forecast_22Nov,condition_22Nov,forecast_23Nov,condition_23Nov,forecast_23Nov.1,condition_23Nov.1,forecast_24Nov,condition_24Nov,forecast_25Nov,condition_25Nov,suburb_id
Abbotsbury,24.1,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10000
Abbotsford,24.27,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10001
Acacia Gardens,24.1,1012,51,29.0,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds,10002
Agnes Banks,24.1,1012,51,32.84,Clouds,28.69,Clouds,23.72,Clouds,29.8,Clouds,26.12,Clouds,10003
Airds,24.18,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10004
Alexandria,23.97,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10005
Alfords Point,24.26,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10006
Allambie Heights,24.27,1012,51,22.83,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds,10007
Allawah,24.27,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10008
Ambarvale,24.18,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10009
Annandale,24.27,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10010
Annangrove,24.1,1012,51,29.0,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds,10011
Arcadia,24.26,1012,51,29.0,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds,10012
Arncliffe,24.27,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10013
Arndell Park,24.1,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10014
Artarmon,24.27,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10015
Ashbury,24.27,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10016
Ashcroft,24.1,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10017
Ashfield,24.15,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10018
Asquith,24.27,1012,51,29.0,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds,10019
Auburn,18.33,1018,47,24.6,Clear,23.33,Clear,29.31,Clear,30.96,Clouds,19.38,Clouds,10020
Austral,24.1,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10021
Avalon Beach,24.25,1012,51,23.28,Clear,21.22,Clouds,20.29,Clouds,22.33,Clouds,25.0,Clouds,10022
Badgerys Creek,24.1,1012,51,31.78,Clouds,29.82,Clouds,24.14,Clouds,33.09,Clouds,30.16,Clouds,10023
Balgowlah,24.27,1012,51,22.83,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds,10024
Balgowlah Heights,24.27,1012,51,22.83,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds,10025
Balmain,24.27,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10026
Balmain East,24.27,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10027
Bangor,24.26,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10028
Banksia,24.27,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10029
Banksmeadow,24.27,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10030
Bankstown,24.26,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10031
Barangaroo,24.11,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10033
Barden Ridge,24.26,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10034
Bardia,24.1,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10035
Bardwell Park,24.27,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10036
Bardwell Valley,24.27,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10037
Bass Hill,24.11,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10038
Baulkham Hills,24.11,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10039
Bayview,24.25,1012,51,23.28,Clear,21.22,Clouds,20.29,Clouds,22.33,Clouds,25.0,Clouds,10040
Beacon Hill,24.27,1012,51,22.83,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds,10041
Beaconsfield,24.27,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10042
Beaumont Hills,24.1,1012,51,29.0,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds,10043
Beecroft,24.26,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10044
Belfield,24.27,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10045
Bella Vista,24.1,1012,51,29.0,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds,10046
Bellevue Hill,24.11,1013,82,22.83,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds,10047
Belmore,24.27,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10048
Belrose,24.27,1012,51,29.0,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds,10049
Berala,24.26,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10050
Berkshire Park,24.1,1012,51,29.0,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds,10051
Berowra,24.25,1012,51,29.0,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds,10052
Berowra Creek,24.25,1012,51,29.0,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds,10053
Berowra Heights,24.25,1012,51,29.0,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds,10054
Berowra Waters,24.25,1012,51,29.0,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds,10055
Berrilee,24.25,1012,51,29.0,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds,10056
Beverley Park,24.11,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10057
Beverly Hills,24.26,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10058
Bexley,24.27,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10059
Bexley North,24.27,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10060
Bickley Vale,24.23,1013,82,31.78,Clouds,29.82,Clouds,24.14,Clouds,33.09,Clouds,30.16,Clouds,10061
Bidwill,24.1,1012,51,29.0,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds,10062
Bilgola Beach,24.25,1012,51,23.28,Clear,21.22,Clouds,20.29,Clouds,22.33,Clouds,25.0,Clouds,10063
Bilgola Plateau,24.25,1012,51,23.28,Clear,21.22,Clouds,20.29,Clouds,22.33,Clouds,25.0,Clouds,10064
Birchgrove,24.13,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10065
Birrong,24.11,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10066
Blackett,24.1,1012,51,29.0,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds,10067
Blacktown,24.1,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10068
Blair Athol,24.18,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10069
Blairmount,24.18,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10070
Blakehurst,24.27,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10071
Bligh Park,24.1,1012,51,29.0,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds,10072
Bondi,24.27,1012,51,22.83,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds,10073
Bondi Beach,24.11,1013,82,22.83,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds,10074
Bondi Junction,24.29,1012,51,22.83,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds,10075
Bonnet Bay,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10076
