suburb,current_temp,pressure,humidity
Abbotsbury,24.1,1013,82
Abbotsford,24.27,1012,51
Acacia Gardens,24.1,1012,51
Agnes Banks,24.1,1012,51
Airds,24.18,1013,82
Alexandria,23.97,1013,82
Alfords Point,24.26,1012,51
Allambie Heights,24.27,1012,51
Allawah,24.27,1012,51
Ambarvale,24.18,1013,82
Annandale,24.27,1012,51
Annangrove,24.1,1012,51
Arcadia,24.26,1012,51
Arncliffe,24.27,1012,51
Arndell Park,24.1,1012,51
Artarmon,24.27,1012,51
Ashbury,24.27,1012,51
Ashcroft,24.1,1013,82
Ashfield,24.15,1013,82
Asquith,24.27,1012,51
Auburn,18.33,1018,47
Austral,24.1,1013,82
Avalon Beach,24.25,1012,51
Badgerys Creek,24.1,1012,51
Balgowlah,24.27,1012,51
Balgowlah Heights,24.27,1012,51
Balmain,24.27,1012,51
Balmain East,24.27,1012,51
Bangor,24.26,1012,51
Banksia,24.27,1012,51
Banksmeadow,24.27,1012,51
Bankstown,24.26,1012,51
Barangaroo,24.11,1013,82
Barden Ridge,24.26,1012,51
Bardia,24.1,1013,82
Bardwell Park,24.27,1012,51
Bardwell Valley,24.27,1012,51
Bass Hill,24.11,1013,82
Baulkham Hills,24.11,1012,51
Bayview,24.25,1012,51
Beacon Hill,24.27,1012,51
Beaconsfield,24.27,1012,51
Beaumont Hills,24.1,1012,51
Beecroft,24.26,1012,51
Belfield,24.27,1012,51
Bella Vista,24.1,1012,51
Bellevue Hill,24.11,1013,82
Belmore,24.27,1012,51
Belrose,24.27,1012,51
Berala,24.26,1012,51
Berkshire Park,24.1,1012,51
Berowra,24.25,1012,51
Berowra Creek,24.25,1012,51
Berowra Heights,24.25,1012,51
Berowra Waters,24.25,1012,51
Berrilee,24.25,1012,51
Beverley Park,24.11,1013,82
Beverly Hills,24.26,1012,51
Bexley,24.27,1012,51
Bexley North,24.27,1012,51
Bickley Vale,24.23,1013,82
Bidwill,24.1,1012,51
Bilgola Beach,24.25,1012,51
Bilgola Plateau,24.25,1012,51
Birchgrove,24.13,1013,82
Birrong,24.11,1013,82
Blackett,24.1,1012,51
Blacktown,24.1,1012,51
Blair Athol,24.18,1013,82
Blairmount,24.18,1013,82
Blakehurst,24.27,1012,51
Bligh Park,24.1,1012,51
Bondi,24.27,1012,51
Bondi Beach,24.11,1013,82
Bondi Junction,24.29,1012,51
Bonnet Bay,24.29,1012,51
Bonnyrigg,24.13,1013,82
Bonnyrigg Heights,24.12,1013,82
Bossley Park,24.12,1013,82
Botany,24.29,1012,51
Bow Bowing,24.2,1013,82
Box Hill,24.12,1012,51
Bradbury,18.24,1019,51
Breakfast Point,24.29,1012,51
Brighton-Le-Sands,24.29,1012,51
Bringelly,24.2,1012,51
Bronte,24.29,1012,51
Brooklyn,24.27,1012,51
Brookvale,24.29,1012,51
Bundeena,24.29,1012,51
Bungarribee,24.12,1012,51
Burraneer,24.29,1012,51
Burwood,24.29,1012,51
Burwood Heights,24.29,1012,51
Busby,24.12,1013,82
Cabarita,24.29,1012,51
Cabramatta,24.13,1013,82
Cabramatta West,24.13,1013,82
Caddens,24.12,1012,51
Cambridge Gardens,24.12,1012,51
Cambridge Park,24.12,1012,51
Camden,24.25,1013,82
Camden South,24.25,1013,82
Camellia,24.13,1013,82
Cammeray,24.29,1012,51
Campbelltown,24.2,1013,82
Camperdown,14.58,1015,67
Campsie,24.29,1012,51
Canada Bay,24.29,1012,51
Canley Heights,24.13,1013,82
Canley Vale,24.13,1013,82
Canoelands,24.12,1012,51
Canterbury,24.29,1012,51
Caringbah,24.29,1012,51
Caringbah South,24.29,1012,51
Carlingford,24.13,1013,82
Carlton,24.29,1012,51
Carnes Hill,24.12,1013,82
Carramar,24.13,1013,82
Carss Park,24.29,1012,51
Cartwright,24.13,1013,82
Castle Cove,24.29,1012,51
Castle Hill,24.13,1012,51
Castlecrag,24.29,1012,51
Castlereagh,24.12,1012,51
Casula,24.13,1013,82
Catherine Field,24.2,1013,82
Cattai,24.12,1012,51
Cawdor,24.25,1013,82
Cecil Hills,24.12,1013,82
Cecil Park,24.12,1012,51
Centennial Park,24.29,1012,51
Chatswood,24.29,1012,51
Chatswood West,24.29,1012,51
Cheltenham,24.29,1012,51
Cherrybrook,24.13,1013,82
Chester Hill,24.13,1013,82
Chifley,30.05,1013,19
Chippendale,24.29,1012,51
Chipping Norton,24.13,1013,82
Chiswick,24.29,1012,51
Chullora,24.29,1012,51
Church Point,24.28,1012,51
Claremont Meadows,24.12,1012,51
Clarendon,24.12,1012,51
Clareville,24.28,1012,51
Claymore,24.2,1013,82
Clemton Park,24.29,1012,51
Clontarf,24.29,1012,51
Clovelly,24.29,1012,51
Clyde,24.13,1013,82
Coasters Retreat,24.27,1012,51
Cobbitty,24.2,1013,82
Colebee,24.12,1012,51
Collaroy,24.29,1012,51
Collaroy Plateau,24.29,1012,51
Colyton,24.12,1012,51
Como,24.29,1012,51
Concord,24.29,1012,51
Concord West,24.29,1012,51
Condell Park,24.13,1013,82
Connells Point,24.29,1012,51
Constitution Hill,24.13,1013,82
Coogee,24.29,1012,51
Cornwallis,24.12,1012,51
Cottage Point,24.27,1012,51
Cowan,24.27,1012,51
Cranebrook,24.12,1012,51
Cremorne,24.11,1013,82
Cremorne Point,24.29,1012,51
Cromer,24.29,1012,51
Cronulla,24.29,1012,51
Crows Nest,27.37,1019,36
Croydon,18.39,1019,51
Croydon Park,24.29,1012,51
Cumberland Reach,24.37,1012,51
Curl Curl,24.29,1012,51
Currans Hill,24.2,1013,82
Currawong Beach,24.27,1012,51
Daceyville,24.15,1013,82
Dangar Island,24.27,1012,51
Darling Point,24.29,1012,51
Darlinghurst,24.29,1012,51
Darlington,24.29,1012,51
Davidson,24.29,1012,51
Dawes Point,23.97,1013,82
Dean Park,24.12,1012,51
Dee Why,24.29,1012,51
Denham Court,24.12,1013,82
Denistone,24.29,1012,51
Denistone East,24.29,1012,51
Denistone West,24.29,1012,51
Dharruk,24.12,1012,51
Dolans Bay,24.29,1012,51
Dolls Point,24.29,1012,51
Doonside,24.12,1012,51
Double Bay,24.29,1012,51
Dover Heights,24.29,1012,51
Drummoyne,23.97,1013,82
Duffys Forest,24.27,1012,51
Dulwich Hill,24.29,1012,51
Dundas,24.13,1013,82
Dundas Valley,24.29,1012,51
Dural,24.13,1012,51
Eagle Vale,24.2,1013,82
Earlwood,24.15,1013,82
East Hills,24.13,1013,82
East Killara,24.29,1012,51
East Kurrajong,24.12,1012,51
East Lindfield,24.29,1012,51
East Ryde,24.29,1012,51
Eastern Creek,24.12,1012,51
Eastgardens,24.29,1012,51
Eastlakes,24.29,1012,51
Eastwood,24.29,1012,51
Ebenezer,24.12,1012,51
Edensor Park,24.12,1013,82
Edgecliff,24.29,1012,51
Edmondson Park,24.12,1013,82
Elanora Heights,24.27,1012,51
Elderslie,24.2,1013,82
Elizabeth Bay,24.29,1012,51
Elizabeth Hills,24.12,1013,82
Ellis Lane,24.25,1013,82
Elvina Bay,24.27,1012,51
Emerton,24.12,1012,51
Emu Heights,24.12,1012,51
Emu Plains,24.12,1012,51
Enfield,24.29,1012,51
Engadine,24.28,1012,51
Englorie Park,24.2,1013,82
Enmore,24.29,1012,51
Epping,24.29,1012,51
Ermington,24.29,1012,51
Erskine Park,24.12,1012,51
Erskineville,24.29,1012,51
Eschol Park,24.2,1013,82
Eveleigh,24.29,1012,51
Fairfield,24.13,1013,82
Fairfield East,24.13,1013,82
Fairfield Heights,24.13,1013,82
Fairfield West,24.13,1013,82
Fairlight,24.29,1012,51
Fiddletown,24.27,1012,51
Five Dock,24.29,1012,51
Flemington,17.37,1016,48
Forest Glen,24.12,1012,51
Forest Lodge,24.29,1012,51
Forestville,24.29,1012,51
Freemans Reach,24.12,1012,51
Frenchs Forest,24.29,1012,51
Freshwater,24.29,1012,51
Galston,24.29,1012,51
Georges Hall,24.13,1013,82
Gilead,24.26,1013,82
Girraween,24.13,1012,51
Gladesville,24.29,1012,51
Glebe,20.38,1012,34
Gledswood Hills,24.2,1013,82
Glen Alpine,24.2,1013,82
Glendenning,24.12,1012,51
Glenfield,24.13,1013,82
Glenhaven,24.13,1012,51
Glenmore Park,24.12,1012,51
Glenorie,24.13,1012,51
Glenwood,24.12,1012,51
Glossodia,24.12,1012,51
Gordon,24.29,1012,51
Granville,24.13,1013,82
Grasmere,24.25,1013,82
Grays Point,24.29,1012,51
Great Mackerel Beach,24.27,1012,51
Green Valley,24.12,1013,82
Greenacre,24.15,1013,82
Greendale,24.2,1012,51
Greenfield Park,24.12,1013,82
Greenhills Beach,24.29,1012,51
Greenwich,24.29,1012,51
Gregory Hills,24.2,1013,82
Greystanes,24.13,1013,82
Grose Vale,24.12,1012,51
Grose Wold,24.12,1012,51
Guildford,17.71,1021,59
Guildford West,24.13,1013,82
Gymea,24.29,1012,51
Gymea Bay,24.29,1012,51
Haberfield,24.29,1012,51
